,x
187,"@Beansiesdaddy That's why America was already so great. You and I can totally disagree on politics and still wish good for each other. Even though I had a different take on the rally, I bet you &amp; I have more in common than not. I wish only good for yo"
188,@52j154i5 You bet! The Witch's Brew Frappuccino is available nationwide.
189,@websitenut @IvankaTrump @CNN @SecretService @realDonaldTrump Aren’t you adorable. You must watch the news. Super smart I bet you are. https://t.co/B7E60aGLrY
190,"@funder @ASnarkRangOut @realDonaldTrump Um, says the person on Twitter....<U+0001F602><U+0001F602><U+0001F602>I bet in front of Trump you would cower away like a small inchworm"
191,@SeekingBlue I bet they are vegetarians and anti-vaxxers.
192,@brycetache @nana2jordyn1 Wanna bet he’s a white man?!?!
193,"look at his big eyes and those  long pointy ears and that pink lil nose ,, i am in love !! https://t.co/EubO5tbLgV"
194,Dis big lip fat nose Bitch https://t.co/umMn0f0SGT
195,"@KevOnStage a Black staff member of Dr Phil should've dumped water on her hair! Talking about white people features, with them big lips and wide nose Lil mama you Black, and the only thing you mixed with is mo Black! https://t.co/YhRLJBSa3Q"
196,Bullshit. Why didnt Republicans put those protections in under Bush senior or junior? Why have Republicans failed this country when it comes to big pharma and opioid abuse? Why is Americans life expectancy 2 years less than the UK yet we pay through the nose for healthcare? Sad! https://t.co/Upe7bhgflv
197,"You ever wanna feel the weather but weather but don’t wanna go outside? Feel your dogs nose, just give him a big boop"
198,"The bloke with the big nose has something important to tell you. But you'll need to come along to the Lyceum to hear it! 

<U+2605><U+2605><U+2605><U+2605><U+2605> “an unbelievable celebration of Scottish theatre” Fringe Review

https://t.co/nwTsy1MTWQ | Until 3 November 2018 https://t.co/tOKg07IsE0"
199,@Sfmakhi Lmaoo nah I jus thought dat nigga would look diff. Ian expect his nose to be that big <U+0001F639><U+0001F639>
200,@jimsciutto @PressSec Absolute clown practice. She should start wearing a big red nose in these interviews. <U+0001F921>
201,"@MorganAlexx This girl really got on camera with that wide ass nose, big lips and stiff ass hair too claim she not ""African American"" <U+0001F31A><U+0001F644>"
202,"@fishingfamilyuk Those little perch are magic!
Put a size 6 through its nose, it may become a very Big Perch!"
203,"@w_terrence “I’m blackanese”
-Chris Tucker (rush hour)"
204,"Chinese neighbor babysat Xander for a few hours and my son came home doing yoga and karate. <U+0001F629><U+0001F94B><U+0001F94B><U+0001F629><U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F>
———————————————
Karate #PrinceXander #Yoga #Kungfu #MartialArts #Baby #TwoYearOld #Chinese #Cantonese #Blackanese #Nigerian #American #Blackanese https://t.co/ZjvEkkTYGQ"
205,Ohhh u blackanese https://t.co/lWmk5JUbeL
206,@simsimmaaa It’s the blackanese nappy fro lol its just how it grows
207,@____Blackanese Nevasssss lmao u basically 2 in 1 rn <U+263A><U+FE0F>
208,People just want to seem exotic instead of plain ol blackanese https://t.co/J2Pu2d0Vyk
209,"I, too, am Blackanese! (Swear my dad coined the term long before Chris Tucker did it in Rush Hour) https://t.co/XKPuHxymwB"
210,@__G5IVE @____Blackanese LMAO like I’m really crying<U+0001F62D><U+0001F62D><U+0001F62D>trashy ass young bulls
211,@____Blackanese @TRAPSTARAK Ayo Me and Chris had our own box he had Marble I had Newport lol
212,"@DrDavidMT @daniel_blackie @ManchesterUP @OAPENbooks David, thanks for this work.  Used it in my History of Disability course to talk about labor and disability."
213,"@sophia_manor My dogs name is: Baxter.   

I call him:
Baxter 
Blackie
Backey"
214,@_JWiing @YubariRaticate
215,@daniel_blackie @jessie_hewitt Thank you!
216,@realDonaldTrump @FoxNews @IngrahamAngle @LouDobbs Sick and tired of hypocrites! Murders okay but getting high is not! # hypocrite law makers#Blackie Sleaze
217,"@DailyGrafix4all @Falilatt_ @honey_blackie You read my mind, I buy you beer https://t.co/9Cq7wiAPy6"
218,@honey_blackie I could swear I did o...I've followed now though<U+0001F601>
219,@CatsProtection Here's Blackie (usually referred to as Wee Man). https://t.co/Wn91EA08EW
220,"MY BABY GIRL BLACKIE SLEEPING SOO SOUNDLY &amp; QUIETLY. LOOVVEE HER SOO MUCH!!!!!! <U+2665><U+FE0F><U+0001F499><U+2764><U+0001F499><U+2665><U+FE0F><U+0001F499><U+2764><U+0001F499><U+2665><U+FE0F><U+0001F499><U+2764><U+0001F499><U+2665><U+FE0F> @ Elkhart, Indiana https://t.co/ftJ6g5l7UE"
221,"So I’m wine drOnk, but even if i was sober sober these are the fax, no paper: 

Modern Family is so much funnier than Blackish.

- a card carrying Blackie"
222,"Blacky dérangeait, alors on lui a tiré dessus ! - ClicAnimaux https://t.co/JK0IPbfAsp via @ClicAnimaux"
223,<U+6687><U+3059><U+304E> csgo<U+624B><U+3064><U+3051><U+308B><U+304B>
224,<U+307E><U+304F><U+3069><U+305F><U+3079><U+305F><U+3044>
225,<U+2934><U+2934><U+2934><U+2934><U+2934><U+2934>
226,<U+65E9><U+304F><U+58F2><U+308C><U+306A><U+3044><U+304B><U+306A><U+3042>
227,(WordPress Gutenberg Is Coming - What You Can Do Today To Make Sure Your Website Doesn't Break) has just been published by Blacky on Blacky's Burrow - https://t.co/JpRjS4CSYx https://t.co/w0s6Ldd6Ll
228,(A productive day) has just been published by Blacky on Blacky's Burrow - https://t.co/9AqfHzq91l
229,@Keytohh @I_R__E no he's a blacky he didn't want aids
230,Cuando llegue Blacky no salio a moverme la colita y eso ha sido lo peor de mi día <U+2639><U+FE0F>
231,"Bernie Sanders gets pussy, end of story; fuck Blacky Hogan! #Jealous4MD"
232,"@OscarDelDiablo Vamos, el colonialismo blanco"
233,I liked a @YouTube video https://t.co/mSNe0YWXPw Limay Blanco en La Cueva del Pirata
234,I really enjoy my job... https://t.co/fral3DpaE4
235,Apenas es Octubre y el pasto ya esta blanco <U+0001F92D><U+0001F62C><U+0001F328>
236,"El actor #RobertDeNiro, fue blanco de un paquete sospechosos que apareció afuera de su restaurante en #NuevaYork. En varias ocasiones, #DeNiro ha expresado su desagrado hacia #DonaldTrump.

https://t.co/DiAg5NB2VN"
237,La paz es el blanco a donde enderezan su intento y el bien a que aspiran todas las cosas (Fray Luis de León)
238,@Knight_2701 El actual aeropuerto se convertiría en un elefante blanco. Razón suficiente. De por sí tiene áreas muertas.
239,@nacholozano No hace falta ese elefante blanco . Quien lo usará?  Más bien acaben con la inseguridad para que los turistas vengan . Solo eso . Ni que fueran millones los que desean venir a mexico
240,@Jordan_A_Blanco All 3
241,"Cuando estas cosas suceden en USA, se crea una demanda colectiva, abogados buscan a los afectados y les envían cartas a sus casas para que firmen la demanda y sean parte, mientras más firmantes más fuerza de la demanda, solo asi se ataca ladrones de cuello blanco, no con show!!! https://t.co/DLxSHCuBaF"
242,"Kemo The Blaxican x Delinquent Habits x M.i.G. •
•
• 
#TheLineHotelLA #AnotherMiGportrait #HowIviewTheWorldAroundMe #WeAmericasGhostRiders #Immigrants #WeGetTheJobDone #WashingtonDC #TheMiGmartinez #CañeMex #aCreativeDC #igDC #Leica #ShotonaLeica #Le… https://t.co/STmvLLSNMt https://t.co/Xy2cYihP06"
243,"@SharonKyle00 ""Of color"" doesn't necessarily mean black. And the dude is named Juan Pablo Rodriguez. That is a MEXICAN ass name. And from all the Mexican friends and family that I've had, that is a Hispanic accent. Are we sure this guy is black? Or at lea"
244,@NickJFuentes @BrittanyVenti Such beautiful blaxican babies!
245,The Blaxicans of Los Angeles https://t.co/GfcBoiph13 via @new_sincerity
246,being blaxican you grow up being afraid of el cucuy &amp; candy man at the same timee
247,@HBCUBuzz @HBCUDigest @HBCUGameday @HBCUPrideNation @Complex @ComplexSports @ComplexMusic https://t.co/LNIV1hhKzF
248,@ciara Thank You!!!!<U+0001F64C><U+0001F3FD>  @ciara                                                           @HBCUBuzz @HBCUDigest @HBCUGameday @HBCUPrideNation @Complex @ComplexSports @ComplexMusic
249,Mexican and blacks need to stop this hate.... we need to just love each other and make beautiful blaxican babies. Ijs
250,@MATTE_BLAXICAN_ https://t.co/xSqXFOTUJr
251,"13. Saddest Scene-
In Super Paper Mario when Tippi and Count Bleck reunite and Bleck finally wakes and finally goes with Tippi. That always fucking broke me"
252,@DearAuntCrabby Thank you for the laugh. Out loud post!  Kale bleck!
253,"3 or 4, bleck coffee is disgusting and anything higher than 4 or 5 is basically cream with coffee flavouring https://t.co/8cmRdT3ZBa"
254,@CarmenDeFalco @chrisbleck @ClemmonsZack Christmas vacation too!  That’s a nice little list.  I’m sure there’s a few more.  How many have you seen/enjoyed Bleck?
255,@chrisbleck @CarmenDeFalco @ClemmonsZack You gotta be kidding me bleck.  I usually agree w you.  You’re in the wrong here.  That movie is timeless. Will be funny when you have grandkids
256,@RMFifthCircuit I have these huge important projects to tackle. I think I'm stuck because I can't finish any one of them in under 8 hours. Every single day for the next 10 days I have meetings and obligations that break into my work hours! Bleck!!
257,@chrisbleck Couldn't just let him have this one huh Bleck? lol
258,ID RATHER BE LET DOWN THAN BE A LET DOWN #BLECK
259,"@JoHnNYBLuE725 @jeninal @MyLadyKat Yeah its bullshit. People are losing respect for actually playing a real game anymore...its who was nicer to me, who didnt get blood on their hands, who only won comps when they needed to....bleck!! Sick of it."
260,Tou com Um Bleck Grandão
261,bonky: Disposable Gloves - Hercules Pk 75 $4.75 (Was $9.50) - Hygiene Plus Second Skins or Latex PowerFree $5 (Was $10) @ Woolworths https://t.co/rh5XdEizcY
262,bonky: Movies in SD or HD You Own Will Automatically Be Upgraded to 4K @ Google Play Movies &amp; TV https://t.co/XgokfAdSyQ
263,bonky: 5c for 1GB/ 50c for 10GB/ $2 for 20GB data + Unlimited Calls &amp; Txt for 1st Month @ Moove Mobile https://t.co/mWLZMEKdKC
264,Now Playing: Erise Louis-Jean - BonKy<U+FFFD> Kreyat<U+FFFD>
265,@NateHousley @cop_kisser_666_ Lol Nate doesn't know that being straight edge already includes no bonky touch
266,"Pues el Bonky te dice que en cuanto quieras ir a dormir, él está dispuesto."
267,@tonky_bonky ajmo naši!
268,@tonky_bonky HAHAHA
269,"@tonky_bonky wow. predivno

cestitam!"
270,the knowledge that nicke is worse at axe throwing than bonky is something that makes me wanna scream but I’m not sure what flavor of scream
271,"SPIDER-MAN PS4 THE HEIST DLC 
#SpiderMan #blackcat https://t.co/VYIrgazCgP"
272,#GoodOldThursday with #JohnHartford - ‘Up on the Hill Where They do the Boogie’ https://t.co/dvBNSAW815 #folk #country #bluegrass #vintage https://t.co/VqHzrFfwCR
273,Boogie https://t.co/0Q5w8sgxQd
274,A boogie went crazy <U+0001F602> https://t.co/8gSNDPzRXl
275,@hatthedon @DailyLoud A boogie want a sweet tea mixed with Hi-c <U+0001F602><U+0001F602><U+0001F602><U+0001F602>
276,"@SunniAndTheCity U got a boogie in ur left.......

Gotchu liiiiiiike! Hahahaha"
277,The timing of this post couldn’t be any better... I LOVE YOU Om Boogie .. forever!!! I am in great love and appreciation of your presence in my life and happy to share today with you on your... https://t.co/dUaIF5WFS2
278,Just wait until Boogie Play KD Going to really be Talking crazy <U+0001F62D><U+0001F602><U+0001F602><U+0001F602> https://t.co/hQPQ7vfqDs
279,@veronicatouss Boon Diaa
280,I could accept a cut like that. Universality is an unnecessary boon to the rich https://t.co/x3SZ1opaoH
281,Technology’s dual use - as a boon and a threat - marches on. AI promises to give gov’ts new tools to surveil citizens and suppress dissent and political activity. #ethics #techethics #AI https://t.co/PoflMX0YOj
282,@darreldrowland Fear and lies. Who's that remind you of?
283,"@darreldrowland And yet he supports @Troy_Balderson and @OhioAG who are Trump cheerleaders. Make up your mind Governor, you can't have it both ways."
284,Debbie Boon - Fine Artist | 2018-04-16 | https://t.co/QqgjIrP7e4 https://t.co/KFVQor49mG
285,"Para eso sirve: yurayurayurayurayura kimi no kokoroooo 

kana boon resolviendo problemas emocionales yes https://t.co/EsqBihObhk"
286,How Marist's new high-tech lab could help patients walk again https://t.co/BCj6ukO3sY https://t.co/IUhjpzKOHV
287,"The wholistic mindset of the Visual mapper is without a doubt a boon for corporates in particular. Having fellow colleagues who are graphical knowledge mappers/managers may enhance your information/knowledge economy, And that equates to a monetary gain for your Business system https://t.co/U342vE8Rsp"
288,Nokia CEO Rajeev Suri says that #5G will have massive benefits for consumers and will be a boon to @nokia as well. @NokiaMobile @TheShroffster @mehta_ajey @sarvikas #Nokia #Nokiamobile #Android @BFuckert @nokianetworks @nokiaindustries https://t.co/cDvHH6aINy
